frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, FE1, FE2, FE3, FE4, FE5, FE6, FE7, FE8, FE9, FE10, FE11, FE12, FE13, FE14, FE15, FE16, FE17, FE18, FE19, FE20, FE21
22, 0, 0.701, 0.98, 1, 0.85, 1.85, 0.00, 0.00, 0.23, 1.78, 0.00, 0.00, 0.58, 0.00, 0.00, 0.00, 0.61, 0.00, 0.90, 0.95, 0.91, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
23, 0, 0.734, 0.98, 1, 0.67, 1.69, 0.00, 0.00, 0.30, 1.46, 0.00, 0.09, 0.60, 0.00, 0.00, 0.00, 0.42, 0.00, 0.83, 0.92, 1.01, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
24, 0, 0.767, 0.98, 1, 0.78, 1.66, 0.00, 0.00, 0.29, 1.81, 0.00, 0.11, 0.64, 0.00, 0.00, 0.00, 0.39, 0.00, 0.86, 0.89, 0.91, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
25, 0, 0.801, 0.98, 1, 0.75, 1.75, 0.00, 0.00, 0.28, 1.75, 0.00, 0.00, 0.58, 0.00, 0.00, 0.00, 0.33, 0.00, 0.84, 1.31, 0.94, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
26, 0, 0.834, 0.98, 1, 0.75, 1.83, 0.06, 0.00, 0.27, 1.77, 0.00, 0.00, 0.62, 0.00, 0.00, 0.00, 0.25, 0.00, 0.89, 1.05, 0.87, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
27, 0, 0.868, 0.98, 1, 0.88, 1.85, 0.05, 0.00, 0.30, 1.60, 0.00, 0.08, 0.63, 0.00, 0.00, 0.00, 0.33, 0.00, 0.89, 0.99, 0.89, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
28, 0, 0.901, 0.98, 1, 0.88, 1.90, 0.00, 0.00, 0.20, 1.35, 0.00, 0.04, 0.67, 0.00, 0.00, 0.00, 0.33, 0.00, 0.84, 1.01, 0.91, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
29, 0, 0.934, 0.98, 1, 0.79, 1.81, 0.00, 0.00, 0.27, 1.63, 0.00, 0.06, 0.68, 0.00, 0.00, 0.00, 0.41, 0.00, 0.93, 1.08, 0.88, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
30, 0, 0.968, 0.98, 1, 0.84, 1.83, 0.00, 0.00, 0.22, 1.43, 0.00, 0.02, 0.69, 0.00, 0.00, 0.00, 0.37, 0.00, 0.92, 1.06, 0.88, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
31, 0, 1.001, 0.98, 1, 0.91, 1.87, 0.00, 0.00, 0.24, 1.68, 0.00, 0.07, 0.68, 0.00, 0.00, 0.00, 0.35, 0.00, 0.94, 1.08, 0.77, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
